"Subject","Gruppe","Trial","item_type","color","source","recog","ONTest.RT","RKResponse","RKTest.RT","tag","ori_assign","assign","SMTest.RT","testword","Age","Group","SessionDate","SessionStartDateTimeUtc","SessionTime","Sex","studies","Block","Blocklist","Blocklist.Cycle","Blocklist.Sample","Procedure[Block]","Running[Block]","Strategieabfrage.ACC","Strategieabfrage.CRESP","Strategieabfrage.DurationError","Strategieabfrage.OnsetDelay","Strategieabfrage.OnsetTime","Strategieabfrage.OnsetToOnsetTime","Strategieabfrage.RESP","Strategieabfrage.RT","Strategieabfrage.RTTime","fontsize","ListTest.Resp","onleft","onright","ONTest.Resp","pos","position","rkleft","rkright","Running[Trial]","StudyList1","StudyList1.Cycle","StudyList1.Sample","TestList","TestList.Cycle","TestList.Sample","UebungMemCue","used"
1,"IN",39,"distractor","new","nosou","new",1038,"new",376,"N","N","N",1041,"Fahne",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,39,1,39,NA,1
1,"IN",40,"F item","cyan","top","new",2942,"new",376,"N","N","N",1041,"Schaum",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,40,1,40,NA,1
1,"IN",41,"distractor","new","nosou","new",1004,"new",376,"N","N","N",1041,"Mutter",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,41,1,41,NA,1
1,"IN",42,"distractor","new","nosou","new",1422,"new",376,"N","N","N",1041,"Wiege",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,42,1,42,NA,1
1,"IN",43,"F item","yellow","bottom","old",4352,"remember",1747,"F","Y","B",3054,"Puppe",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,43,1,43,NA,1
1,"IN",44,"distractor","new","nosou","new",1135,"new",1747,"N","N","N",3054,"Dozent",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,44,1,44,NA,1
1,"IN",45,"F item","cyan","top","new",6101,"new",1747,"N","N","N",3054,"Stuhl",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,45,1,45,NA,1
1,"IN",46,"distractor","new","nosou","new",1837,"new",1747,"N","N","N",3054,"Sturm",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,46,1,46,NA,1
1,"IN",47,"F item","yellow","bottom","old",4957,"know",544,"F","C","T",1410,"Klavier",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,47,1,47,NA,1
1,"IN",48,"distractor","new","nosou","new",949,"new",544,"N","N","N",1410,"Fischer",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,48,1,48,NA,1
1,"IN",49,"distractor","new","nosou","new",746,"new",544,"N","N","N",1410,"Schlamm",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,49,1,49,NA,1
1,"IN",50,"distractor","new","nosou","new",1391,"new",544,"N","N","N",1410,"Nagel",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,50,1,50,NA,1
1,"IN",51,"R item","cyan","top","old",1107,"remember",590,"R","Y","B",1495,"Küche",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,51,1,51,NA,1
1,"IN",52,"R item","yellow","bottom","old",1390,"remember",175,"R","Y","B",2343,"Mädchen",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,52,1,52,NA,1
1,"IN",53,"F item","yellow","bottom","new",5517,"new",175,"N","N","N",2343,"Buch",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,53,1,53,NA,1
1,"IN",54,"R item","yellow","bottom","old",351,"remember",241,"R","Y","B",3951,"Wasser",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,54,1,54,NA,1
1,"IN",55,"distractor","new","nosou","new",1044,"new",241,"N","N","N",3951,"Pfeffer",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,55,1,55,NA,1
1,"IN",56,"R item","yellow","bottom","old",1341,"remember",264,"R","Y","B",2725,"Doktor",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,56,1,56,NA,1
1,"IN",57,"F item","yellow","bottom","new",12564,"new",264,"N","N","N",2725,"Kind",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,57,1,57,NA,1
1,"IN",58,"F item","yellow","bottom","new",1363,"new",264,"N","N","N",2725,"Pfeife",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,58,1,58,NA,1
1,"IN",59,"R item","yellow","bottom","old",1648,"remember",231,"R","Y","B",3094,"Pfeil",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,59,1,59,NA,1
1,"IN",60,"R item","cyan","top","old",1301,"remember",194,"R","Y","B",2137,"Nässe",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,60,1,60,NA,1
